	cluster	aDC	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	iDC	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Memory B-cells	MEP	Monocytes	mv Endothelial cells	Myocytes	naive B-cells	Neutrophils	NK cells	NKT	pDC	Plasma cells	Platelets	pro B-cells	Tgd cells	Th1 cells	Th2 cells	Tregs
C59	cluster1	0	0.209025849	4.28E-18	0.052328538	0.039046982	0.075420143	0.073814729	0.028592431	0.00963037	0.162349306	0.146441296	0.015628604	0.054419399	0.089951059	0.00164062	0	0.00815873	0.002295474	0.024824109	0	1.06E-19	7.09E-20	0.000308639	0.000600627	0.095743019	0.001847891	0	2.61E-19	0.003102853	0.066471115	0	1.11E-18	0.01301854	0.000984063	1.47E-18	0.003445521	1.38E-18	1.67E-18	0.003115068	0.0198677	0.012465824
C6	cluster1	0.005385193	0.088272326	0.018739242	0.030722234	0.015934545	0.037959012	0.011368306	0.037274548	0.007278489	0.189045297	0.178623011	0.052821193	0.036733258	0.058833334	0.000675924	8.23E-21	0.029694223	0.002692993	0.009345552	0	0.002004599	1.79E-21	1.09E-19	0.00764649	0.048323462	0.031408577	3.09E-18	0.002575801	0.000995092	0.014737949	0	0.002123174	0.005396655	7.23E-20	0.024932572	0.031447727	0	0	0.03085383	0.088618906	1.04E-19
C60	cluster1	0.008024263	0.023316838	0.019975281	0.042820218	0.05439289	0.066824009	0.038436361	0.076729154	0.012745386	0.245731271	0.170196207	0.098748447	0.069297899	0.012353244	0.001165243	1.17E-20	0.018778019	0.000860863	0.013908623	0	4.99E-22	0	3.84E-05	0.004184358	0.022039969	0.052205001	0	0.002839587	0.000600026	0.003989979	0	0.017064459	0	0.002784958	0.003750806	0.011347694	1.23E-19	0.000352039	0.072274679	0.044340897	1.24E-17
C61	cluster1	1.94E-18	0.14465431	4.42E-18	0.042992647	0.02223681	0.044615157	0.012996359	0	0	0.089968589	0.091266304	0.037503319	0.046984871	0.079168628	0.001946768	0.000451054	0.017128092	8.22E-22	0.036973961	2.06E-19	0.00160166	0.000374306	0.004506522	0.004084223	0.071546079	0.024288701	2.97E-18	0	0.003182368	0.024561669	0	0.044803911	1.01E-18	0.02669667	0.023812114	0.027222217	1.61E-19	0	0.006351814	0.119593301	0.001272306
C62	cluster1	0.008764936	0.053230551	0.031442404	0.030015599	0.038264483	0.056964494	0.051755299	0.031005858	0	0.044754134	0.055560711	0.002578843	1.85E-18	0.012080636	0	0.004285469	0.003966519	0.004733907	1.26E-18	0	0.009754997	0.005751229	0.005220915	0.001957853	0.024646556	0.010650523	0	0.005238432	0.000299372	0.018621923	0.003430735	0.002454507	0.011502424	0.021223678	0.00397402	0.046315484	0	0	0.034275508	0.025610305	0.00021447
C63	cluster1	3.67E-19	0.266910307	1.99E-18	0.015669389	0.005208855	0.017638676	0.009076167	1.61E-19	1.68E-18	0.030518297	0.035546604	5.43E-18	3.00E-19	0.072897764	2.51E-19	0.000666949	1.41E-18	0.001034202	0	0	0.002375199	0.001453383	0.003444187	0.000897837	0.115542969	0.012105911	0	0	0.00291875	0.088585354	0.00215223	0	1.54E-19	0.016037434	0.021465955	0.063453426	0.008108589	0	0	0.039371809	1.77E-18
C64	cluster2	8.49E-20	0.092727059	0.029754722	0	0	4.21E-18	0	0	9.02E-20	7.44E-18	0	0	0.006288237	0.068063852	0	0.000396212	0.01811652	0.001814838	0.019313837	2.78E-22	0.006697283	0.003005382	0.001523692	0.000604427	0.047448139	0.001246456	0	0.005334039	0.006049459	0.034707943	0.013002803	0	0.014489934	9.07E-19	0.005103586	0.004916557	0.001441088	3.24E-18	0	1.89E-19	0.004440673
C65	cluster1	0.006803029	0.085150644	0.015931261	0	1.29E-18	1.90E-19	0	0	0	0.07737159	0.072724058	0.041311086	0.020456726	0.049587004	0	0.001747695	0.008422545	0.00285325	0.005330927	2.74E-19	0.008925387	0.004595245	0.004679068	0.003811605	0.037662922	0.010799928	0.000213303	0.002931217	0.003816582	0.019822173	0.008211232	0.01745315	0.01401416	0.026010256	0.019403859	0.018196901	0	0	0.016537252	0.024236679	1.32E-18
C66	cluster1	0.102709156	0.205477539	0.01682078	7.49E-19	0.003321907	0	2.73E-19	3.81E-20	0.007430696	0.099321696	0.077423097	0.061589133	0.016507402	0.040231036	0	2.14E-19	0.001635036	0.001947783	0.001357243	1.28E-18	0.018827826	0.025932176	0.003062345	0	0.125814885	0.035661961	0.00080939	0.010178876	1.65E-19	0.053058697	0.001271764	0.004484064	0.037717382	0.048992814	0.022715485	0.036534084	0.006860389	0	0.117013952	6.59E-18	0
C67	cluster1	0.005716224	0.134194172	8.06E-20	2.94E-18	0	0	0	1.16E-18	1.07E-21	0.05283888	0.085285882	0.049888021	0	0.072317285	1.12E-19	0.00380574	0	0.0074999	3.30E-18	3.60E-18	0.006102804	0.011620658	0	3.85E-20	0.08601945	0.051425685	0	0.016198332	0	6.81E-18	0.001946065	0.004817309	0.005740886	0.030078626	0.200896124	0.032594944	0.046404317	0	0.133318474	0.143478845	8.38E-18
C68	cluster2	0.040712076	0.084442388	0.079897967	0	0	1.00E-17	1.18E-17	0	2.37E-20	0.043306684	0.033717398	0.059722407	0.000318149	0.076924284	2.64E-19	3.85E-20	0.018085987	0.005072992	5.41E-18	0	0.024211947	0.026246958	0.001233748	0	0.069397477	0.072339042	5.62E-18	0.028160925	0	6.30E-20	0.001649867	4.20E-20	0.050358909	0.019556658	0.047177787	0	0.063729583	0	0.174440501	7.58E-19	9.54E-18
C69	cluster1	0.00472624	0.111568705	0	0.018842609	0.019708048	0.031891821	0.001142284	0.01590296	0	0.105045269	0.098040429	0.051800357	0.037088428	0.077277445	0.002527748	2.72E-20	0.01754375	0.001232472	0.031278777	0	0.005651774	0.003637443	0.004618301	0.009584517	0.046670929	0.01739406	6.50E-19	1.94E-20	0.003212076	0.013638641	5.70E-19	0.048131035	0.001217513	0.021827938	0.044948895	0.017004115	0.000997871	0.00340002	0.011840417	0.075761575	1.04E-18
C7	cluster1	2.16E-18	0.162085894	0	0.051985733	0.044922193	0.070207939	0.024099095	0.060392913	0.003495753	0.199888208	0.167276554	0.063386799	0.015009216	0.085692732	0.001710941	7.58E-20	0.017255317	0	0.026513113	1.75E-19	0	0	0.001332323	0.005244758	0.079049098	0.017662287	7.03E-19	0	0.00220089	0.037429431	3.51E-18	0.028399695	5.78E-19	0.007754785	0.038172922	0.022261504	0.000519664	0.007283514	0.013683095	0.072883927	1.88E-18
C70	cluster1	0.045979529	0.066614099	0	0.01236244	0	0.016514089	0	0.006471043	1.44E-21	0.111833207	0.098453132	0.068086542	0.023889235	0.032744581	0.000523285	0.001332539	4.90E-19	0.00125465	0	0	0.016491368	0.012539701	0.012989613	0.002116908	0.028117268	0.013904005	0.000446712	0.000519667	0.001356595	0.012507054	0.001674147	0.03799059	0.006913965	0.038828786	0.011674064	0.013513107	0	0.006819172	0.033064827	0.026675229	0.01228444
C71	cluster2	0.003539183	0.05387079	0.013558671	0.004554138	0	0.002439549	8.45E-19	0	0	0.015586491	0.027539505	0	3.66E-18	0.056307258	1.29E-19	0.00332572	0.029903288	0.001906802	5.54E-18	0	0.003064447	0.00079256	0.000120366	0.001662376	0.019542306	0.026253999	4.14E-18	0	0	0.015397725	0.005964456	0	0.01291176	6.67E-20	0.016330037	0.058951207	0	0	1.49E-18	0.101004282	0.002522952
C72	cluster1	0.022047417	0.129387928	0	0	0.012656364	0.003081973	0	0.032285609	0.006282364	0.193455845	0.170559372	0.129263786	0.040463787	0.039525922	0.005196388	0	0.057726255	0.000318993	0.096050145	2.37E-18	0.005056483	0.009351073	0.005347201	0.007799674	0.088256675	0.066169841	0	0.010606776	9.89E-21	0.031002315	0	0.044369327	0	0.027697153	0.027806255	0.006050817	0.003304616	1.14E-18	0.155901547	0.009334863	0
C73	cluster1	0.024590422	0.115563238	8.56E-19	0.035619882	0.039735284	0.063479966	0.041235389	0.014894184	4.28E-19	0.060345357	0.061547413	0.047618255	0.069952559	0.040097267	0.001723017	3.55E-20	0.00097034	0.00014587	0.014678342	1.04E-19	0.013339464	0.011295916	0.01752184	0.00407726	0.051822069	0.013756846	0.002549694	0.0012281	0	0.037535863	0	0.048527897	0.005180961	0.034594316	0.003951364	0.001471567	7.29E-20	0.00280033	0.026686326	0.018027113	0.015128183
C74	cluster1	5.67E-19	0.158087808	0.011629166	0.007000543	0.002541593	0.014617141	0.042557338	0.005512192	9.11E-20	0.01164366	0.005163957	0	0.011943899	0.115811215	5.05E-22	0.003043168	0.050437932	0.001840849	0.014372285	0	0.013104485	0.001010762	0.003021747	0.01582259	0.068107121	0.021726624	0	0.002879823	0.002609124	0.031933519	0.0010664	1.05E-17	1.18E-18	4.61E-19	0.026648973	0.015924629	0.006646519	0	0	0.023409324	0.007671528
C75	cluster2	0.005428644	0.078415151	0.023537125	0	0	3.82E-18	0	0	1.98E-19	0.037922374	0.050642529	0.025410427	0.013499687	0.034495587	0	0.006329797	0	0.001485815	0	0.000429763	0.013450872	0.004235245	0.010650396	0.002550063	0.037745478	0.001321519	0	0.000914596	0.000215701	0.021392532	0.009359614	0.027137703	0.022088915	0.017999458	0.00754145	0.053106732	0	6.06E-19	0.004027959	0.028540611	1.84E-18
C76	cluster2	0.002230124	0.015877873	0.006944066	0.002740983	0	0.006682641	1.22E-18	8.00E-19	0	3.75E-19	0.003234056	6.16E-20	3.29E-19	0.029303693	0	0.011293526	0.008284279	0.0013479	0	8.46E-20	0.062580826	0.02196019	0.01088825	0.000599317	0.000847365	0.009019642	7.30E-18	0.003441529	0.004048764	0.010461497	0.007151427	2.10E-18	0.008497132	0	0.000638627	0.000436281	3.17E-18	9.18E-19	4.25E-20	0.030139739	0.020080904
C77	cluster2	0.00868231	0	0.026489219	0	0	6.43E-18	3.60E-18	2.64E-17	3.17E-20	0.018673806	0.037055437	1.14E-18	0	0	0	0.005404243	0.001067956	0.005834008	0	9.85E-20	0.016353565	0.007502466	0.002308613	0	0	0.011314614	8.75E-19	0.004644175	0.003472297	0	0.01109417	0	0.031014833	0.019675618	8.84E-19	0.043444358	2.02E-18	0	0	0.066099777	0
C78	cluster2	0.015948223	0.070529591	4.79E-20	3.35E-20	3.34E-19	0	0	0	8.27E-19	0.020776336	0.017127453	2.73E-19	0.059516016	0.047624729	0.000605505	0.000940366	0.000130364	0.004295487	0.02288732	0	0.024296501	0.00968987	0.015360381	0.004253473	0.031394436	0.003234361	0.007668067	0.00134913	0.002351662	0.015430813	0.007249116	0	0.026841873	0.010258746	0.003571948	0.027015414	1.11E-18	2.70E-19	0	0.012471863	0.006542186
C79	cluster1	2.81E-18	0.189575805	1.52E-18	0.013339831	0.01268685	0.019515965	0.005811115	0	0.003386104	0.171499174	0.137936352	0.057069942	0.06573846	0.053554363	0.001831095	7.77E-21	0.022474289	0.002575735	0.027797135	6.71E-21	0	3.46E-19	0.001118644	0.004223202	0.088949547	0.018602859	0	4.25E-19	0.003200399	0.07258944	0	0.031203526	0.022056115	0.001911536	0	0.01246262	0	0	3.32E-18	0.064612664	0.007220968
C8	cluster2	4.48E-19	0.01410654	1.89E-18	0	7.66E-18	8.62E-18	2.72E-18	0	0	5.86E-19	6.69E-18	2.62E-18	0.012306039	0.030243034	8.78E-19	0.006904052	0.037144936	0.002860597	0.005973876	7.42E-20	0.014365635	0.003928689	0.003012518	0.004309909	0.006309061	0	2.67E-18	0.00352084	0.001004415	0.012208838	0.008841037	2.03E-17	2.48E-19	3.90E-18	0.004496827	0.027640492	3.46E-18	0	3.59E-18	0.033478801	0
C80	cluster2	0.018229578	0.029374193	0.035834757	3.33E-19	6.39E-19	2.83E-18	0	6.05E-18	0	6.38E-20	0.014147968	2.50E-18	3.81E-18	0.006502152	1.20E-19	0.008044446	0.013047723	0.008748974	0	3.40E-19	0.015675622	0.013327536	0.002629283	0.000681804	0.018998495	0.018245142	3.30E-18	0.014936854	4.70E-20	0.007394459	0.010185146	3.83E-18	0.027344662	0.029535183	0.010513049	0.078477731	0	1.74E-18	0.028158472	0.013604073	1.25E-18
C82	cluster1	0.005077142	0.040123332	0.004403389	0.016933559	0.01731615	0.035118631	0.02899949	0.045797636	9.45E-21	0.087812554	0.082512907	0.041799397	0.080598969	0.022712663	0.001660005	0.000820043	0.004516863	0.001667176	0.014738214	2.18E-19	0.003499645	0.000757761	0.002417755	0.004160325	0.023483993	0.015847016	0.002965795	0.001340261	0.004261169	0.011949089	0.007401242	0.031026611	0.030024322	0.009425847	0	0.009605442	0	7.86E-19	0.010893255	0.018171154	0.006275189
C83	cluster1	0.029956026	0.024965035	0.043081619	0	0	3.08E-20	9.13E-18	2.36E-18	0	0.103105752	0.093908389	0.096638773	0.012607577	0.019921897	0	0.001091383	0.003934644	0.001004499	1.55E-18	2.65E-19	0.019315267	0.016455053	0.008641414	6.50E-20	0.011934576	0.016541517	0.00156488	0.006326713	0	0	0.008204313	0.043237636	0.016502344	0.042172525	0.022372577	0.007710339	0	2.04E-18	0.066146344	0.024501835	1.98E-17
C84	cluster1	0	0.003036994	0.023898186	0.040642294	0	0.054233789	0.019591252	0.06839288	0.006347047	0.070514547	0.07070643	0.041253373	0.017452821	0.010447669	2.11E-05	0.001486916	0.083007151	0.004453692	0.04077717	0	0.012110629	0.006707635	0.005044576	0.002348806	0.001601554	0.024976503	0	0.00550392	8.94E-20	0.000238258	3.71E-19	0.000519717	0.009178792	0.011929285	0.002025545	0	0	4.06E-18	0.040321408	0.091211106	0.074530552
C85	cluster2	1.88E-18	0.072695429	1.67E-19	0	2.08E-18	1.49E-18	4.11E-19	0.031760009	0.012012863	0.085735282	0.076307089	0.039480141	0.059895638	0.04529681	0.005648274	9.59E-21	0.07968839	0.004973292	0.175354605	1.60E-18	0	0.003884561	0.002960777	0.004236127	0.051113172	0.053898488	0	0.011957773	0.007989598	0.026999421	1.25E-18	0.01215516	0.039835326	0.02572011	0.006917483	0	1.11E-19	9.57E-19	0.060110635	0.012241495	1.33E-18
C86	cluster1	0.009068893	0.137849549	0	0.011577982	0.005978708	0.010544572	0	0.02209928	1.14E-20	0.083786452	0.074460339	0.046450419	0.017475068	0.065848665	1.60E-20	0.000715524	0	0.004088929	8.10E-19	0	0.008728701	0.005182079	0.007686675	0.003178468	0.074680854	0.026305421	2.48E-19	0.00188334	0.002001908	0.026435786	0.002555784	0.025590814	0.011860114	0.021511583	0.048702365	0.04681253	0.002674867	0	0.044834948	0.036942873	0
C87	cluster1	0	0.143831817	0.028321146	0.026597319	0.024458562	0.036608385	0.021754204	0.026450825	5.66E-20	0.11370822	0.104580478	0.046551666	0.073957365	0.053947392	0	0	0.006111886	0.001373036	0.011277253	0	0.010919108	0.002795985	0.011278625	0.003057677	0.073072085	0.024312671	1.13E-18	0.001683914	0.002501547	0.038801469	0.000487174	0.02386525	0.009853915	0.013255732	0.019854038	0.001876095	0	1.30E-18	0.023289156	0.048407329	1.19E-18
C89	cluster2	0.000982932	0.094605518	0.038481636	0	0	0	0.009515079	0	0	0.02692202	0.026186001	4.20E-19	0.060216843	0.071169586	0.00163976	0.00040182	0.029204144	0.002109509	0.016959845	0	0.006640058	0.000365915	0.007799846	0.006429209	0.041370091	0.003008467	4.03E-18	0.00040195	0.009397588	0.023253946	0.003881247	3.56E-18	0.021610397	0	1.36E-18	0.030902718	1.28E-19	0	9.68E-19	0.008734226	0.01913067
C9	cluster1	0	0.114686934	0.009596024	0	0	0	0	1.13E-18	3.34E-19	0.026020345	0.031676917	0.003520461	0.005110631	0.085094573	1.45E-20	0.00544391	2.65E-20	0.001456102	3.68E-18	4.62E-19	0.011474515	0.006871023	0.001495376	0.002162604	0.050716391	0.016726501	0	0.00460048	0.003264515	0	0.004416073	0	0.006401057	0.004868152	0.112949307	0.017787125	0.02270274	8.77E-18	0.00564923	0.072045117	5.81E-18
C90	cluster1	1.74E-18	0.117308909	0.009868454	0	5.92E-19	0.003422903	0	0	0.008370949	0.151804543	0.149399768	0.065766052	0.000772244	0.105617484	3.23E-20	0.000155281	0	0.002913375	8.01E-19	8.47E-20	0.001958023	0.001033184	0.001229617	0.000879931	0.060986236	0.022482204	0	0.002512595	0.001569319	0.000596838	0.006545114	0.017537374	0.008632599	0.00733282	0.076992691	0.006673023	0.017534326	2.15E-18	0.018421803	0.11556547	5.80E-19
C91	cluster1	0	0.126775908	0	0.024658861	0.039286426	0.045463552	0.014094925	0.077520471	0.025933616	0.276073057	0.225581919	0.077050441	0.039184089	0.041281668	0.000644288	0	0.040793475	0.002778218	0.05978772	5.43E-20	0	0	5.04E-20	5.87E-19	0.079504211	0.031270076	7.62E-18	0.00645966	0.000266849	0.045579325	1.76E-18	0.004988648	0.005168391	0.005337303	0.005589237	0.007833476	1.34E-18	0	0.037323261	0.047247333	0
C92	cluster2	0.004502284	0.072184232	0.043647345	3.75E-19	0	2.69E-18	6.27E-19	0	0	4.81E-20	0.009963441	0	0.017512172	0.042261328	0	0.00458303	0.019656399	0.00229632	0.008292562	2.25E-19	0.024103303	0.008385768	0.006702649	0.001195052	0.037163444	0.007146643	1.45E-18	0.011840124	0.005909639	0.027649115	0.010170381	2.02E-18	0.007260793	0.003567773	0.003916439	7.11E-05	0.011508285	0	0	0.042331337	0
C93	cluster1	0.071420287	0.174760328	9.19E-19	8.70E-23	0	0	7.77E-19	5.03E-19	0	0.025758639	0.039469607	0.036968188	9.44E-19	0.088289486	1.27E-18	0.004973948	2.11E-18	0.002406004	7.16E-18	1.79E-19	0.017358421	0.026306451	0.007380624	0	0.108172042	0.040702071	0.006455255	0.010450571	0	0.01703394	0.000999453	0.017393629	0.014725623	0.033281357	0.091690715	8.40E-19	0.033602855	7.90E-18	0.107864077	0.045404857	8.55E-18
C94	cluster1	0.000962408	0.101007699	2.40E-17	0.012621117	0.060482008	0.060970859	0.025854712	0.069525157	0.024714546	0.339959627	0.259026199	0.141597652	0.002346488	0.047063622	4.27E-20	0	0	0.00199213	8.75E-18	7.82E-21	0	0	0.000611022	0	0.071542326	0.054022055	2.35E-18	0.009420689	1.20E-19	0.026213076	6.71E-19	0.003789873	0.014887339	0.00956782	0.0372816	0	0.006362666	5.54E-18	0.154607801	0.021688119	0
C95	cluster1	3.59E-20	0.117428847	0.010503068	2.42E-21	0.006641027	0.015217072	0.007928818	3.87E-20	2.98E-19	0.074144117	0.076997615	0.014629633	0.008758232	0.068670021	0	0.002239414	0.004111496	0.004021731	2.23E-19	2.01E-19	0.007027176	0.002235589	0.002264238	0.002769538	0.056616056	0.002550189	0.00078709	0.002083151	0.002622839	0.027835643	0.008854147	7.79E-19	0.008231646	0.002819777	0.024273281	0.018629011	0.006588406	5.32E-18	0.001260231	0.052470218	0.006383394
C96	cluster2	0	0.229653458	7.43E-19	6.00E-19	0.016003808	0.017886017	0.007882527	0.04722267	0.016939517	0.165409903	0.143743186	0.074673794	0.063536619	0.056610677	0	2.89E-18	0.035947047	0.00440679	0.066335644	0	7.71E-19	0.000850801	0.001034963	1.15E-19	0.171924222	0.05597222	2.65E-18	0.015629043	0.000693565	0.071655654	0	6.67E-18	0.026973321	0.037383443	0.019621927	0	0.014198605	5.74E-18	0.124080196	0.012007643	1.50E-17
C97	cluster2	9.06E-19	0.112538963	0.022829539	0	0	0	0	0	1.12E-20	0.022457444	0.030337343	0.01731731	0	0.073560863	0	5.16E-19	0.001354934	0.006619938	0	6.00E-19	0	0.001128048	0	3.59E-21	0.062430115	0.018358593	1.67E-18	0.006590348	0.005486238	0.013939258	0.010255314	0.013556559	0.040880513	0.01860543	0.066871451	0.003413364	0.018269004	6.10E-18	0.022628491	0.039532584	0
C98	cluster1	2.08E-19	0.020491829	0.030719386	4.09E-19	0.014335926	0.003146634	0	0.023372523	0.000227322	0.072757164	0.062605007	0.033413447	0	0.023375955	0	9.66E-21	0.018406551	0.004117773	2.78E-18	1.73E-18	0.011074063	0.00865402	3.67E-19	3.18E-19	0.022511159	0.027037894	1.36E-18	0.016376357	0.001276943	7.03E-19	0.005015397	1.44E-18	0.019204244	0.007601017	0.041174049	0.026185058	0.022267868	3.23E-19	0.071303059	0.022738234	1.36E-17
C99	cluster2	0.013958027	0.036060515	0.008344483	0	1.59E-19	4.06E-18	0	0.011632001	0.005677931	0.056315033	0.073104976	0.026290894	1.16E-18	0.024006375	2.07E-19	0.001145597	0	0.010997193	1.24E-17	9.34E-19	0.000280523	0.004977708	0	8.55E-20	0.04163331	0.030495019	1.47E-18	0.020126086	0	0.004454363	0.009588134	1.16E-18	0.073528913	0.013835637	0.025155005	0.056502242	0.00406856	0	0.035540499	0.057969364	1.32E-17
NC1	non_COVID_19	0	0.158291723	0	6.88E-19	0.041083571	0.027139606	0.031723958	0.058727574	0.012634634	0.139863233	0.110223605	0.042397432	0.069949536	0.036274151	0.002351288	0	0.031884198	0.006992132	0.115527872	1.01E-18	1.61E-19	0.001048057	0.003276502	2.22E-19	0.114005447	0.064119783	0	0.01803134	0	0.05527485	0	2.47E-18	0.037087291	0.015235863	0.011310336	0.011521488	0.001427321	0	0.084277715	0	0
NC10	non_COVID_19	0	0.030676475	0.037664352	0.0022078	0	0	2.94E-18	0.00695209	4.09E-19	0.002494124	0.015258395	0	0.032868642	0.015978811	7.46E-20	0.00223375	0	0.005467567	0.012258193	0	0.020822705	0.008744242	0.01003576	0.001332623	0.023811672	0.02119644	0.003301565	0.002971692	0.002493468	0.013998399	0.005967455	0.024060008	0.017883403	0.018213669	0.005444444	0.071000883	0	1.55E-18	0.023305962	0	0
NC11	non_COVID_19	0	0.103933399	8.99E-19	0	0.004720234	0.003166806	0	0.032343451	0	0.089733151	0.098089591	0.039993752	0.132572147	0.025381276	0.005537382	8.92E-05	0.057406231	0.002199739	0.094449296	7.49E-19	0.006111436	0.006015041	0.00658876	0.0030615	0.071974557	0.034169989	7.61E-20	0.005115401	0.001227077	0.032813679	0	0.017369867	0.019794124	0.033518615	0.002568897	0.010128543	8.47E-20	1.03E-18	0.043947718	1.30E-20	1.87E-18
NC12	non_COVID_19	0.012514289	0.066370734	0.031799941	0	0	8.08E-20	7.50E-19	5.18E-18	1.11E-19	0	0.005340315	2.02E-21	0.007244617	0.034129936	2.82E-19	0.00766275	0.013690737	0.002786696	0	4.34E-19	0.029104075	0.009841189	0.010239104	0.001911599	0.025457749	0.00624779	0	0.005303851	0.003685504	0.028041344	0.005508849	0.008494756	0.029550201	0.011233502	0.002821239	0.002948927	6.59E-19	3.85E-18	0.012853445	0	0.02017532
NC13	non_COVID_19	0.010752429	0.054475925	0.023154152	9.11E-19	0	0	7.58E-19	3.64E-21	0.003147425	0.07290761	0.060529839	0.017442165	0.016764307	0.021502636	2.88E-19	0.000251883	0.002503733	0.003468206	0	0	0.015433832	0.005100765	0.012667906	0.000715285	0.035271406	0.013633778	0.004729994	0.005355197	0.003869872	0.025423804	0.01005747	5.46E-19	0.065228378	0.004338699	0.000388114	0	0	2.76E-21	0.023463592	0.002437376	0
NC14	non_COVID_19	0.014864026	0.038699384	0.021827166	0	9.96E-19	0	0	5.78E-18	5.92E-19	8.56E-20	0	1.95E-18	0.024329137	0.033792305	4.71E-19	0	7.53E-20	0.002184477	0	0	0.008048906	0.006066742	0.001722139	0.000442723	0.0220264	0.008266413	1.99E-19	0.004140599	0.0074383	0.026498561	0.011693952	0	0.044851287	0.001087466	0	0.005737262	9.67E-18	0	0	0	0.020352425
NC15	non_COVID_19	0	0.052539126	5.71E-18	2.76E-19	0.012546781	0.012191481	0	0.060395715	0.009291157	0.242793964	0.20238835	0.143300248	0.046995403	0.029659797	0	3.99E-19	0.022313711	0.000763537	0.02414385	0	9.56E-21	0.001187589	0.003736324	0.003459911	0.033488747	0.041983993	2.58E-18	0.006166138	8.10E-20	0.023260329	0	0.054821063	0.004379323	0.017024983	0.002466537	0.00544935	5.91E-19	7.17E-19	0.073924304	0.032131454	0
NC16	non_COVID_19	0	0.244479421	0.023269226	7.58E-19	0	9.41E-18	0	7.07E-18	0	0	0.004858631	1.48E-18	0.002482976	0.077138501	5.79E-18	0.001306762	0.050029774	0.009033478	0.008834222	8.39E-20	0.009888767	0.003386323	0.004384976	0.000888356	0.124829788	0.009532288	4.43E-19	0.005579206	0.00022481	0.095371816	0.003539526	1.65E-18	0.031878458	0.001902635	0.014137828	5.23E-19	0.019653058	2.97E-19	0.017665104	0.004501663	0
NC17	non_COVID_19	0.003398837	0.14385869	0.007155364	0.006500817	0.015418636	0.022291703	0.025645263	0.003933132	0	0.04021921	0.046850478	0.016233587	0.043841546	0.048485301	1.75E-20	0.000456087	1.82E-19	0.003594861	0.014607892	0	0.012999765	0.004611275	0.012951406	0.002545176	0.07070582	0.004129129	0.006536324	0.001394883	0.002401998	0.054527676	0.008237415	0.016209078	0.022849778	0.020993272	0.001334865	0.00343892	0.000135528	0	0.005909536	0.006879511	0.008912759
NC18	non_COVID_19	0.012636943	0.00389219	0.028715932	0	2.20E-18	0	1.02E-18	0.010863638	0.003983865	0.042571673	0.0288278	0.022940206	0.034046906	0.008670369	0	0.003654462	0.019907711	0.005189392	3.66E-19	0	0.024708667	0.015622872	0.009302222	0.001175407	0.0088083	0.034979336	0.009406111	0.00970296	0.001842411	0.000811661	0.008055622	0	0.035003095	0.018557721	0.007095566	0.001054568	0	0	0.027412922	1.94E-18	3.79E-19
NC19	non_COVID_19	0.049031423	0.082736202	3.41E-19	0	0	3.32E-19	0	3.03E-18	1.24E-18	5.81E-19	2.45E-18	0	0.024630297	0.032902379	8.80E-19	0.009740613	0	0.005607502	0	0	0.028500719	0.026650779	0.01023648	0.000872698	0.044949421	0.018055323	0.015015609	0.015117232	0.001866523	0.034533638	0.010130957	0	0.031907171	0.000731261	0.002591033	0	0.004998448	2.01E-18	0.011627068	1.40E-18	0
NC2	non_COVID_19	0	0.02185576	0.013755923	4.24E-19	1.48E-18	6.68E-20	9.51E-19	0.023651403	0.007692138	0.072403557	0.076605002	0.029886323	0.022783844	0.027381461	6.30E-20	0.000794782	4.96E-20	0.004838174	2.86E-18	0	0.010192042	0.005192591	0.004261021	0	0.012713019	0.014090047	0.003458747	0.003532523	0.004192143	0.005204291	0.010762719	0	0.019047216	0.007223156	0.000231087	0.017159707	6.63E-20	0	0.014058099	0.036740513	0.001410664
NC20	non_COVID_19	0.003013558	0.041304345	0.036526798	3.87E-20	0	5.77E-19	0.012055823	0.010217258	0.002872895	0.112967129	0.095675574	0.054239318	0.005572871	0.017890599	0	0.004183902	3.12E-20	0.002896833	0	0	0.003264769	0.001033452	0.000208486	0.000880149	0.023289752	0.00997971	0	0.00590643	0.000211561	0.019721814	0.007007869	0.018586369	0.047800194	0.003757764	0.000175605	0.030063429	0	0	2.54E-19	0.055232255	0.019038228
NC21	non_COVID_19	6.01E-19	0.051767648	0.008665328	1.34E-18	0	0	0	0.055318717	0.016249837	0.171919983	0.133493338	0.078427759	0.084037094	0.009497738	0.00263856	0.000678135	0.058185885	0.007072922	0.07270545	1.04E-18	0.000365782	0.002361075	0.001375087	0.00261767	0.054630421	0.052652378	0	0.01207088	0.000502818	0.014517053	0	0.00641293	0.008893325	0.021062153	0.004883681	0.020365663	1.01E-20	0	0.070387907	0.008630776	8.56E-18
